Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Arizona Diamondbacks,29,26.4,5.49,69,93,.426,5.09,162,162,160,2,7,2,31,1451.1,1563,890,821,202,603,57,1318,57,7,69,6437,88,4.50,1.492,9.7,1.3,3.7,8.2,2.19,1193,Arizona Diamondbacks,.275,.348,.454,.801,.323,3.1%,20.5%,9.4%,89.6,42.5%,28.0%,45.7%,18.6%,0.87,-11.8,-2.0%,-142.3,Arizona Diamondbacks,5.49,,162,6437,5693,890,1563,337,38,202,63,35,603,1318,.275,.348,.454,.801,.323,2582,125,57,42,42,57,55,Arizona Diamondbacks,5.49,44%,3.1%,20.5%,9.4%,11.1%,9.0%,37%,0.87,1.25,65%,28%,9.7%,11%,1221,125,10%,0,2016
Atlanta Braves,35,26.4,4.84,68,93,.422,4.51,161,161,160,1,9,1,39,1447.2,1414,779,725,177,547,55,1227,70,4,83,6250,92,4.32,1.355,8.8,1.1,3.4,7.6,2.24,1128,Atlanta Braves,.256,.328,.416,.744,.296,2.8%,19.6%,8.8%,89.6,41.8%,25.4%,44.3%,21.7%,0.83,-2.9,-1.2%,-71.5,Atlanta Braves,4.84,,161,6250,5531,779,1414,263,47,177,132,25,547,1227,.256,.328,.416,.744,.296,2302,106,70,52,50,55,59,Atlanta Braves,4.84,54%,2.8%,19.6%,8.8%,10.9%,7.8%,34%,0.83,1.05,67%,25%,8.6%,13%,1116,106,10%,0,2016
Baltimore Orioles,27,27.9,4.41,89,73,.549,4.22,162,162,161,1,9,0,54,1432.0,1408,715,671,183,545,23,1248,51,3,59,6122,102,4.31,1.364,8.8,1.2,3.4,7.8,2.29,1111,Baltimore Orioles,.258,.328,.421,.750,.301,3.0%,20.4%,8.9%,89.1,40.0%,25.3%,45.2%,20.8%,0.84,6.5,6.7%,17.3,Baltimore Orioles,4.41,,162,6122,5467,715,1408,309,18,183,69,37,545,1248,.258,.328,.421,.750,.301,2302,145,51,17,38,23,46,Baltimore Orioles,4.41,52%,3.0%,20.4%,8.9%,11.5%,8.3%,36%,0.84,1.17,67%,25%,9.2%,14%,1153,145,13%,0,2016
Boston Red Sox,26,29.0,4.28,93,69,.574,4.00,162,162,153,9,5,1,43,1439.2,1342,694,640,176,490,16,1362,65,0,52,6073,112,4.00,1.273,8.4,1.1,3.1,8.5,2.78,1060,Boston Red Sox,.246,.314,.397,.711,.295,2.9%,22.4%,8.1%,88.5,37.8%,23.0%,41.4%,25.8%,0.73,3.4,2.9%,54.7,Boston Red Sox,4.28,,162,6073,5459,694,1342,251,23,176,59,33,490,1362,.246,.314,.397,.711,.295,2167,117,65,24,35,16,47,Boston Red Sox,4.28,45%,2.9%,22.4%,8.1%,14.4%,7.4%,34%,0.73,0.94,65%,23%,8.7%,14%,1136,117,10%,0,2016
Chicago Cubs,26,29.9,3.43,103,58,.640,3.15,162,162,157,5,15,2,38,1459.2,1125,556,511,163,495,24,1441,63,0,80,5933,133,3.77,1.110,6.9,1.0,3.1,8.9,2.91,998,Chicago Cubs,.212,.285,.348,.633,.257,2.8%,24.3%,8.3%,88.8,38.7%,25.5%,46.6%,19.8%,0.91,18.2,7.4%,169.6,Chicago Cubs,3.43,,162,5933,5309,556,1125,205,15,163,133,38,495,1441,.212,.285,.348,.633,.257,1849,98,63,31,35,24,54,Chicago Cubs,3.43,51%,2.8%,24.3%,8.3%,15.9%,6.5%,34%,0.91,1.21,63%,25%,9.2%,12%,947,98,10%,0,2016
Chicago White Sox,28,28.6,4.41,78,84,.481,4.10,162,162,155,7,10,1,43,1446.2,1422,715,659,185,521,30,1270,68,2,72,6196,99,4.27,1.343,8.8,1.2,3.2,7.9,2.44,1141,Chicago White Sox,.257,.326,.419,.746,.300,3.0%,20.5%,8.4%,88.9,38.1%,26.2%,42.8%,22.3%,0.77,-1.2,-0.2%,3.7,Chicago White Sox,4.41,,162,6196,5524,715,1422,290,25,185,89,20,521,1270,.257,.326,.419,.746,.300,2317,123,68,29,49,30,46,Chicago White Sox,4.41,38%,3.0%,20.5%,8.4%,12.1%,8.1%,35%,0.77,0.99,66%,26%,8.9%,14%,1148,123,11%,0,2016
Cincinnati Reds,32,27.1,5.27,68,94,.420,4.91,162,162,160,2,8,1,28,1442.0,1457,854,786,258,636,31,1241,78,12,61,6348,87,5.24,1.451,9.1,1.6,4.0,7.7,1.95,1168,Cincinnati Reds,.263,.345,.456,.801,.294,4.1%,19.6%,10.0%,88.6,39.1%,28.2%,41.5%,21.4%,0.73,-12.0,-2.7%,-138.1,Cincinnati Reds,5.27,,162,6348,5543,854,1457,261,18,258,108,45,636,1241,.263,.345,.456,.801,.294,2528,118,78,54,35,31,59,Cincinnati Reds,5.27,46%,4.1%,19.6%,10.0%,9.5%,8.5%,37%,0.73,0.99,64%,28%,11.9%,12%,1290,118,9%,0,2016
Cleveland Indians,27,28.1,4.20,94,67,.584,3.84,161,161,156,5,11,3,37,1445.0,1330,676,617,186,461,34,1398,34,7,49,6033,118,3.91,1.239,8.3,1.2,2.9,8.7,3.03,1022,Cleveland Indians,.243,.304,.407,.711,.291,3.1%,23.2%,7.6%,88.9,38.7%,26.9%,46.8%,19.6%,0.90,11.3,8.3%,86.3,Cleveland Indians,4.20,,161,6033,5480,676,1330,287,27,186,51,32,461,1398,.243,.304,.407,.711,.291,2229,103,34,27,31,34,54,Cleveland Indians,4.20,54%,3.1%,23.2%,7.6%,15.5%,8.3%,38%,0.90,1.24,65%,27%,9.6%,11%,981,103,11%,0,2016
Colorado Rockies,25,27.7,5.31,75,87,.463,4.91,162,162,160,2,9,2,37,1429.1,1532,860,779,181,547,38,1223,70,5,72,6289,99,4.38,1.455,9.6,1.1,3.4,7.7,2.24,1141,Colorado Rockies,.274,.345,.446,.790,.321,2.9%,19.5%,8.7%,88.5,40.4%,26.6%,48.7%,17.7%,0.99,-11.4,-3.6%,-96.4,Colorado Rockies,5.31,,162,6289,5583,860,1532,312,51,181,100,31,547,1223,.274,.345,.446,.790,.321,2489,128,70,49,36,38,54,Colorado Rockies,5.31,47%,2.9%,19.5%,8.7%,10.8%,8.7%,36%,0.99,1.41,67%,27%,9.2%,10%,1248,128,10%,0,2016
Detroit Tigers,23,29.0,4.48,86,75,.534,4.24,161,161,158,3,8,1,47,1428.0,1417,721,672,182,462,25,1232,51,4,44,6048,101,4.16,1.316,8.9,1.1,2.9,7.8,2.67,1043,Detroit Tigers,.260,.320,.421,.741,.302,3.0%,20.4%,7.6%,88.7,39.1%,23.1%,44.0%,22.2%,0.81,3.0,0.3%,1.4,Detroit Tigers,4.48,,161,6048,5457,721,1417,250,42,182,71,39,462,1232,.260,.320,.421,.741,.302,2297,129,51,25,53,25,34,Detroit Tigers,4.48,46%,3.0%,20.4%,7.6%,12.7%,7.8%,34%,0.81,1.05,68%,23%,9.3%,17%,1079,129,12%,0,2016
Houston Astros,23,28.9,4.33,84,78,.519,4.06,162,162,160,2,8,1,44,1468.0,1441,701,663,181,453,19,1396,39,2,98,6180,97,3.85,1.290,8.8,1.1,2.8,8.6,3.08,1075,Houston Astros,.256,.314,.424,.737,.308,2.9%,22.6%,7.3%,88.4,38.1%,25.1%,45.4%,22.2%,0.85,5.8,2.0%,20.5,Houston Astros,4.33,,162,6180,5637,701,1441,320,42,181,67,31,453,1396,.256,.314,.424,.737,.308,2388,113,39,18,31,19,46,Houston Astros,4.33,49%,2.9%,22.6%,7.3%,15.3%,8.8%,38%,0.85,1.18,66%,25%,9.0%,12%,1070,113,11%,0,2016
Kansas City Royals,21,29.9,4.40,81,81,.500,4.21,162,162,159,3,7,0,41,1440.0,1433,712,674,206,517,8,1287,60,7,55,6182,102,4.42,1.354,9.0,1.3,3.2,8.0,2.49,1150,Kansas City Royals,.259,.327,.423,.750,.301,3.3%,20.8%,8.4%,89.4,40.7%,23.2%,43.9%,24.3%,0.81,4.8,2.0%,25.6,Kansas City Royals,4.40,,162,6182,5535,712,1433,248,21,206,55,42,517,1287,.259,.327,.423,.750,.301,2341,117,60,30,39,8,51,Kansas City Royals,4.40,45%,3.3%,20.8%,8.4%,12.5%,7.7%,33%,0.81,1.03,66%,23%,10.2%,14%,1192,117,10%,0,2016
Los Angeles Angels,30,28.4,4.49,74,88,.457,4.28,162,162,158,4,12,3,29,1421.1,1480,727,676,208,498,27,1136,56,10,47,6120,94,4.62,1.392,9.4,1.3,3.2,7.2,2.28,1129,Los Angeles Angels,.269,.334,.440,.774,.303,3.4%,18.6%,8.1%,89.2,39.8%,25.7%,41.1%,23.6%,0.71,-7.0,-2.0%,-29.0,Los Angeles Angels,4.49,,162,6120,5495,727,1480,275,20,208,93,47,498,1136,.269,.334,.440,.774,.303,2419,126,56,22,48,27,51,Los Angeles Angels,4.49,49%,3.4%,18.6%,8.1%,10.4%,8.2%,34%,0.71,0.93,69%,26%,9.4%,14%,1162,126,11%,0,2016
Los Angeles Dodgers,31,28.9,3.94,91,71,.562,3.70,162,162,159,3,15,3,47,1453.0,1266,638,598,165,464,51,1510,53,5,58,6014,109,3.61,1.191,7.8,1.0,2.9,9.4,3.25,1017,Los Angeles Dodgers,.233,.298,.375,.674,.291,2.7%,25.1%,7.7%,87.6,35.2%,26.3%,42.3%,21.9%,0.76,8.5,6.2%,72.9,Los Angeles Dodgers,3.94,,162,6014,5430,638,1266,225,26,165,87,36,464,1510,.233,.298,.375,.674,.291,2038,84,53,35,30,51,38,Los Angeles Dodgers,3.94,47%,2.7%,25.1%,7.7%,17.4%,6.9%,33%,0.76,1.02,63%,26%,8.5%,13%,983,84,9%,0,2016
Miami Marlins,31,28.0,4.24,79,82,.491,4.05,161,161,161,0,12,0,55,1435.0,1358,682,646,152,595,62,1379,61,3,66,6164,98,3.97,1.361,8.5,1.0,3.7,8.6,2.32,1177,Miami Marlins,.251,.329,.394,.724,.307,2.5%,22.4%,9.7%,88.7,38.2%,27.8%,43.0%,20.5%,0.78,0.0,0.0%,3.1,Miami Marlins,4.24,,161,6164,5408,682,1358,256,31,152,76,38,595,1379,.251,.329,.394,.724,.307,2132,119,61,48,50,62,39,Miami Marlins,4.24,43%,2.5%,22.4%,9.7%,12.7%,7.1%,32%,0.78,1.08,64%,28%,7.6%,12%,1204,119,10%,0,2016
Milwaukee Brewers,27,28.1,4.52,73,89,.451,4.08,162,162,162,0,7,0,46,1434.1,1450,733,650,178,532,33,1175,66,2,48,6188,105,4.37,1.382,9.1,1.1,3.3,7.4,2.21,1152,Milwaukee Brewers,.263,.333,.426,.760,.303,2.9%,19.0%,8.6%,88.3,38.2%,26.3%,45.9%,19.4%,0.88,1.2,-0.8%,-18.3,Milwaukee Brewers,4.52,,162,6188,5509,733,1450,293,36,178,92,59,532,1175,.263,.333,.426,.760,.303,2349,122,66,40,41,33,72,Milwaukee Brewers,4.52,53%,2.9%,19.0%,8.6%,10.4%,8.2%,35%,0.88,1.20,68%,26%,8.9%,13%,1181,122,10%,0,2016
Minnesota Twins,29,28.3,5.49,59,103,.364,5.08,162,162,158,4,3,1,26,1443.0,1617,889,814,221,479,26,1191,41,7,83,6314,83,4.57,1.453,10.1,1.4,3.0,7.4,2.49,1096,Minnesota Twins,.283,.340,.466,.806,.320,3.5%,18.9%,7.6%,89.9,42.5%,26.1%,42.8%,23.1%,0.77,-13.3,-1.6%,-156.3,Minnesota Twins,5.49,,162,6314,5722,889,1617,326,30,221,78,20,479,1191,.283,.340,.466,.806,.320,2666,155,41,26,46,26,67,Minnesota Twins,5.49,48%,3.5%,18.9%,7.6%,11.3%,9.1%,36%,0.77,1.07,69%,26%,9.7%,11%,1182,155,13%,0,2016
New York Mets,22,28.4,3.81,87,75,.537,3.57,162,162,161,1,13,1,55,1447.0,1397,617,574,152,439,39,1396,35,7,50,6067,113,3.56,1.269,8.7,0.9,2.7,8.7,3.18,1109,New York Mets,.254,.311,.395,.706,.312,2.5%,23.0%,7.2%,88.7,38.5%,26.7%,43.8%,20.7%,0.82,11.8,7.4%,85.2,New York Mets,3.81,,162,6067,5494,617,1397,258,29,152,135,45,439,1396,.254,.311,.395,.706,.312,2169,117,35,55,44,39,58,New York Mets,3.81,50%,2.5%,23.0%,7.2%,15.8%,7.2%,31%,0.82,1.08,66%,27%,7.6%,11%,1007,117,12%,0,2016
New York Yankees,29,27.9,4.33,84,78,.519,4.16,162,162,162,0,10,0,48,1428.1,1358,702,660,214,444,15,1393,57,2,52,6023,104,4.20,1.262,8.6,1.3,2.8,8.8,3.14,1036,New York Yankees,.248,.310,.424,.734,.294,3.6%,23.1%,7.4%,88.8,39.8%,23.7%,46.7%,21.4%,0.90,6.3,2.3%,35.5,New York Yankees,4.33,,162,6023,5478,702,1358,279,22,214,86,31,444,1393,.248,.310,.424,.734,.294,2323,100,57,21,22,15,48,New York Yankees,4.33,49%,3.6%,23.1%,7.4%,15.8%,8.6%,38%,0.90,1.19,65%,24%,11.4%,13%,996,100,10%,0,2016
Oakland Athletics,27,27.9,4.70,69,93,.426,4.51,162,162,160,2,7,1,42,1433.1,1459,761,718,185,464,28,1188,50,3,70,6144,91,4.24,1.342,9.2,1.2,2.9,7.5,2.56,1083,Oakland Athletics,.263,.322,.422,.744,.301,3.0%,19.3%,7.6%,89.3,40.7%,25.7%,46.2%,19.7%,0.88,-6.3,-1.1%,-53.0,Oakland Athletics,4.70,,162,6144,5558,761,1459,277,26,185,75,22,464,1188,.263,.322,.422,.744,.301,2343,125,50,21,49,28,62,Oakland Athletics,4.70,44%,3.0%,19.3%,7.6%,11.8%,7.9%,33%,0.88,1.13,69%,26%,9.2%,14%,1108,125,11%,0,2016
Philadelphia Phillies,27,26.3,4.91,71,91,.438,4.63,162,162,158,4,12,3,43,1437.0,1468,796,739,213,466,30,1299,51,9,57,6164,91,4.34,1.346,9.2,1.3,2.9,8.1,2.79,1057,Philadelphia Phillies,.265,.325,.448,.773,.307,3.5%,21.1%,7.6%,88.9,38.7%,28.5%,40.9%,21.1%,0.72,-2.3,1.4%,-90.2,Philadelphia Phillies,4.91,,162,6164,5540,796,1468,308,33,213,70,32,466,1299,.265,.325,.448,.773,.307,2481,120,51,49,55,30,53,Philadelphia Phillies,4.91,48%,3.5%,21.1%,7.6%,13.5%,9.0%,38%,0.72,1.00,66%,28%,9.9%,13%,1145,120,10%,0,2016
Pittsburgh Pirates,32,28.6,4.68,78,83,.484,4.21,162,162,157,5,5,1,51,1450.2,1490,758,679,180,533,28,1232,68,7,71,6292,99,4.30,1.395,9.2,1.1,3.3,7.6,2.31,1182,Pittsburgh Pirates,.267,.336,.436,.772,.311,2.9%,19.6%,8.5%,88.3,37.5%,25.7%,46.3%,19.2%,0.91,-2.8,-1.1%,-42.4,Pittsburgh Pirates,4.68,,162,6292,5579,758,1490,322,40,180,102,28,533,1232,.267,.336,.436,.772,.311,2432,150,68,64,46,28,69,Pittsburgh Pirates,4.68,43%,2.9%,19.6%,8.5%,11.1%,8.6%,36%,0.91,1.31,67%,26%,9.1%,13%,1208,150,12%,0,2016
San Diego Padres,32,28.1,4.75,68,94,.420,4.43,162,162,161,1,9,0,35,1440.0,1425,770,708,183,569,44,1222,53,3,67,6228,90,4.40,1.385,8.9,1.1,3.6,7.6,2.15,1138,San Diego Padres,.258,.330,.422,.753,.298,2.9%,19.6%,9.1%,89.4,41.3%,25.0%,46.3%,20.5%,0.89,-4.5,0.5%,-73.3,San Diego Padres,4.75,,162,6228,5533,770,1425,275,44,183,98,29,569,1222,.258,.330,.422,.753,.298,2337,147,53,27,42,44,63,San Diego Padres,4.75,45%,2.9%,19.6%,9.1%,10.5%,8.1%,35%,0.89,1.16,67%,25%,9.2%,13%,1213,147,12%,0,2016
Seattle Mariners,32,28.8,4.36,86,76,.531,4.00,162,162,160,2,8,2,49,1457.0,1410,707,647,213,460,30,1318,55,7,52,6147,102,4.30,1.283,8.7,1.3,2.8,8.1,2.87,1069,Seattle Mariners,.253,.314,.425,.739,.294,3.5%,21.4%,7.5%,89.0,38.7%,25.7%,43.3%,22.0%,0.78,2.9,-0.8%,11.7,Seattle Mariners,4.36,,162,6147,5573,707,1410,273,23,213,81,32,460,1318,.253,.314,.425,.739,.294,2368,135,55,23,36,30,60,Seattle Mariners,4.36,46%,3.5%,21.4%,7.5%,14.0%,8.3%,36%,0.78,1.03,66%,26%,10.3%,14%,1096,135,12%,0,2016
San Francisco Giants,25,30.0,3.90,87,75,.537,3.65,162,162,152,10,11,3,43,1460.1,1334,631,593,158,439,30,1309,46,6,40,6049,109,3.76,1.214,8.2,1.0,2.7,8.1,2.98,1037,San Francisco Giants,.243,.303,.392,.695,.290,2.6%,21.6%,7.3%,88.8,38.0%,25.6%,44.7%,20.5%,0.84,9.3,8.9%,79.0,San Francisco Giants,3.90,,162,6049,5488,631,1334,262,42,158,71,35,439,1309,.243,.303,.392,.695,.290,2154,120,46,41,34,30,44,San Francisco Giants,3.90,49%,2.6%,21.6%,7.3%,14.4%,7.6%,35%,0.84,1.17,67%,26%,8.0%,13%,1055,120,11%,0,2016
St. Louis Cardinals,21,28.0,4.40,86,76,.531,4.08,162,162,160,2,10,2,38,1448.1,1432,712,656,159,475,35,1290,52,1,50,6164,100,3.88,1.317,8.9,1.0,3.0,8.0,2.72,1107,St. Louis Cardinals,.258,.320,.402,.722,.307,2.6%,20.9%,7.7%,87.8,36.0%,25.4%,49.0%,18.3%,1.00,-1.5,-1.1%,-4.0,St. Louis Cardinals,4.40,,162,6164,5553,712,1432,278,22,159,85,26,475,1290,.258,.320,.402,.722,.307,2231,149,52,38,46,35,69,St. Louis Cardinals,4.40,49%,2.6%,20.9%,7.7%,13.2%,7.5%,32%,1.00,1.42,67%,25%,8.5%,12%,1216,149,12%,0,2016
Tampa Bay Rays,25,26.9,4.40,68,94,.420,4.20,162,162,161,1,8,1,42,1426.1,1395,713,665,210,491,25,1357,32,7,61,6076,96,4.26,1.322,8.8,1.3,3.1,8.6,2.76,1084,Tampa Bay Rays,.255,.318,.416,.734,.300,3.5%,22.3%,8.1%,89.7,40.4%,23.7%,41.2%,25.4%,0.71,-4.0,-0.8%,-2.4,Tampa Bay Rays,4.40,,162,6076,5470,713,1395,233,9,210,91,31,491,1357,.255,.318,.416,.734,.300,2276,109,32,33,47,25,49,Tampa Bay Rays,4.40,46%,3.5%,22.3%,8.1%,14.3%,7.4%,32%,0.71,0.88,65%,24%,10.2%,15%,1137,109,10%,0,2016
Texas Rangers,31,28.8,4.67,95,67,.586,4.37,162,162,161,1,6,0,56,1443.0,1441,757,700,201,534,16,1154,53,5,45,6186,104,4.58,1.369,9.0,1.3,3.3,7.2,2.16,1100,Texas Rangers,.260,.329,.424,.753,.293,3.3%,18.7%,8.6%,88.7,39.0%,25.4%,45.3%,21.7%,0.85,4.6,5.1%,-6.9,Texas Rangers,4.67,,162,6186,5537,757,1441,260,22,201,82,33,534,1154,.260,.329,.424,.753,.293,2348,168,53,19,43,16,58,Texas Rangers,4.67,40%,3.3%,18.7%,8.6%,10.0%,7.8%,34%,0.85,1.16,68%,25%,9.6%,12%,1271,168,13%,0,2016
Toronto Blue Jays,29,29.8,4.11,89,73,.549,3.78,162,162,162,0,10,0,43,1459.1,1340,666,613,183,461,10,1314,59,7,50,6113,113,4.04,1.234,8.3,1.1,2.8,8.1,2.85,1069,Toronto Blue Jays,.242,.305,.398,.703,.283,3.0%,21.5%,7.5%,89.5,41.4%,23.6%,46.5%,20.9%,0.89,9.5,7.7%,79.2,Toronto Blue Jays,4.11,,162,6113,5546,666,1340,269,24,183,84,20,461,1314,.242,.305,.398,.703,.283,2206,127,59,13,33,10,51,Toronto Blue Jays,4.11,47%,3.0%,21.5%,7.5%,14.0%,7.8%,36%,0.89,1.17,67%,24%,9.7%,15%,1102,127,12%,0,2016
Washington Nationals,24,29.1,3.78,95,67,.586,3.51,162,162,161,1,12,0,46,1459.2,1272,612,570,155,468,43,1476,57,4,47,6036,122,3.58,1.192,7.8,1.0,2.9,9.1,3.15,1044,Washington Nationals,.234,.300,.376,.677,.292,2.6%,24.5%,7.8%,88.3,36.7%,26.5%,43.1%,20.5%,0.79,9.7,6.6%,117.2,Washington Nationals,3.78,,162,6036,5430,612,1272,252,27,155,54,29,468,1476,.234,.300,.376,.677,.292,2043,124,57,52,28,43,45,Washington Nationals,3.78,48%,2.6%,24.5%,7.8%,16.7%,7.2%,34%,0.79,1.04,63%,27%,8.1%,14%,1121,124,11%,0,2016
Arizona Diamondbacks,23,28.7,4.07,93,69,.574,3.66,162,162,160,2,11,1,43,1441.0,1309,659,586,171,516,45,1482,38,5,82,6072,128,3.80,1.266,8.2,1.1,3.2,9.3,2.87,1090,Arizona Diamondbacks,.240,.309,.398,.707,.297,2.8%,24.4%,8.5%,88.2,39.6%,23.4%,47.9%,20.9%,0.95,11.8,6.7%,113.1,Arizona Diamondbacks,4.07,,162,6072,5443,659,1309,276,34,171,69,32,516,1482,.240,.309,.398,.707,.297,2166,125,38,36,37,45,65,Arizona Diamondbacks,4.07,43%,2.8%,24.4%,8.5%,15.9%,7.9%,37%,0.95,1.33,63%,23%,9.4%,10%,1044,125,12%,0,2017
Atlanta Braves,26,29.4,5.07,72,90,.444,4.72,162,162,162,0,6,0,36,1441.1,1463,821,756,192,584,39,1258,70,5,58,6306,93,4.51,1.420,9.1,1.2,3.6,7.9,2.15,1161,Atlanta Braves,.263,.339,.438,.777,.306,3.0%,20.0%,9.3%,87.5,36.9%,25.4%,43.8%,22.6%,0.81,-7.1,-2.6%,-84.7,Atlanta Braves,5.07,,162,6306,5563,821,1463,326,36,192,99,30,584,1258,.263,.339,.438,.777,.306,2437,118,70,53,36,39,50,Atlanta Braves,5.07,46%,3.0%,20.0%,9.3%,10.7%,8.8%,38%,0.81,1.11,66%,25%,9.1%,11%,1171,118,10%,0,2017
Baltimore Orioles,26,28.2,5.19,75,87,.463,4.97,162,162,161,1,10,1,35,1441.0,1505,841,795,242,579,21,1233,60,6,53,6293,88,4.96,1.446,9.4,1.5,3.6,7.7,2.13,1129,Baltimore Orioles,.269,.342,.458,.799,.303,3.9%,19.6%,9.2%,88.3,40.0%,25.4%,44.2%,21.8%,0.81,-3.9,-1.8%,-91.7,Baltimore Orioles,5.19,,162,6293,5589,841,1505,293,17,242,77,34,579,1233,.269,.342,.458,.799,.303,2558,150,60,17,48,21,48,Baltimore Orioles,5.19,49%,3.9%,19.6%,9.2%,10.4%,8.8%,37%,0.81,1.13,66%,25%,11.4%,12%,1264,150,12%,0,2017
Boston Red Sox,27,28.4,4.12,93,69,.574,3.70,162,162,157,5,11,1,39,1482.1,1384,668,610,195,465,18,1580,49,3,43,6217,123,3.78,1.247,8.4,1.2,2.8,9.6,3.40,1102,Boston Red Sox,.245,.306,.406,.712,.304,3.1%,25.4%,7.5%,87.7,37.2%,25.1%,41.4%,24.8%,0.72,14.4,10.9%,132.2,Boston Red Sox,4.12,,162,6217,5647,668,1384,278,23,195,61,39,465,1580,.245,.306,.406,.712,.304,2293,116,49,16,40,18,56,Boston Red Sox,4.12,41%,3.1%,25.4%,7.5%,17.9%,8.0%,36%,0.72,0.92,63%,25%,9.4%,12%,1173,116,10%,0,2017
Chicago Cubs,28,30.8,4.29,92,70,.568,3.95,162,162,160,2,8,1,38,1447.1,1294,695,636,194,554,29,1439,66,4,73,6108,112,4.20,1.277,8.0,1.2,3.4,8.9,2.60,1071,Chicago Cubs,.238,.315,.398,.713,.288,3.2%,23.6%,9.1%,86.9,36.3%,26.4%,45.8%,20.3%,0.87,9.2,7.8%,62.7,Chicago Cubs,4.29,,162,6108,5430,695,1294,250,17,194,121,35,554,1439,.238,.315,.398,.713,.288,2160,119,66,28,29,29,52,Chicago Cubs,4.29,44%,3.2%,23.6%,9.1%,14.5%,7.6%,36%,0.87,1.22,63%,26%,10.2%,11%,1075,119,11%,0,2017
Chicago White Sox,31,28.7,5.06,67,95,.414,4.78,162,162,162,0,3,0,25,1421.2,1384,820,755,242,632,36,1193,68,5,67,6200,90,5.17,1.418,8.8,1.5,4.0,7.6,1.89,1115,Chicago White Sox,.254,.337,.450,.787,.282,3.9%,19.2%,10.2%,88.2,38.6%,25.3%,42.1%,24.6%,0.74,-7.3,-1.6%,-80.4,Chicago White Sox,5.06,,162,6200,5445,820,1384,275,32,242,120,26,632,1193,.254,.337,.450,.787,.282,2449,139,68,14,39,36,73,Chicago White Sox,5.06,46%,3.9%,19.2%,10.2%,9.1%,8.9%,40%,0.74,1.00,65%,25%,11.2%,12%,1174,139,12%,0,2017
Cincinnati Reds,31,27.6,5.36,68,94,.420,5.17,162,162,160,2,8,1,33,1430.0,1442,869,821,248,631,37,1300,77,7,62,6286,87,5.08,1.450,9.1,1.6,4.0,8.2,2.06,1127,Cincinnati Reds,.263,.345,.465,.810,.300,4.0%,20.7%,10.0%,87.3,36.1%,24.2%,44.2%,23.3%,0.83,-7.0,-2.2%,-126.1,Cincinnati Reds,5.36,,162,6286,5475,869,1442,315,22,248,79,42,631,1300,.263,.345,.465,.810,.300,2545,107,77,52,49,37,49,Cincinnati Reds,5.36,52%,4.0%,20.7%,10.0%,10.6%,9.3%,41%,0.83,1.16,63%,24%,12.1%,10%,1171,107,9%,0,2017
Cleveland Indians,20,28.9,3.48,102,60,.630,3.30,162,162,155,7,19,3,37,1440.2,1267,564,529,163,406,15,1614,45,1,48,5866,138,3.33,1.161,7.9,1.0,2.5,10.1,3.98,980,Cleveland Indians,.236,.294,.380,.673,.305,2.8%,27.5%,6.9%,87.3,36.6%,27.7%,44.1%,20.1%,0.81,22.3,12.0%,218.4,Cleveland Indians,3.48,,162,5866,5378,564,1267,262,12,163,50,37,406,1614,.236,.294,.380,.673,.305,2042,139,45,16,20,15,45,Cleveland Indians,3.48,55%,2.8%,27.5%,6.9%,20.6%,7.5%,35%,0.81,1.16,62%,28%,8.8%,11%,1009,139,14%,0,2017
Colorado Rockies,21,27.0,4.67,87,75,.537,4.51,162,162,161,1,9,1,47,1437.2,1453,757,721,190,532,20,1270,50,10,69,6177,112,4.32,1.381,9.1,1.2,3.3,8.0,2.39,1107,Colorado Rockies,.264,.332,.439,.771,.309,3.1%,20.6%,8.6%,87.1,37.4%,24.8%,47.9%,19.9%,0.95,8.5,7.0%,47.0,Colorado Rockies,4.67,,162,6177,5500,757,1453,290,50,190,67,27,532,1270,.264,.332,.439,.771,.309,2413,143,50,49,44,20,36,Colorado Rockies,4.67,46%,3.1%,20.6%,8.6%,12.0%,8.6%,37%,0.95,1.37,66%,25%,9.7%,10%,1178,143,12%,0,2017
