Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Houston Astros,24,29.4,3.81,86,76,.531,3.57,162,162,157,5,13,3,39,1441.0,1308,618,572,148,423,17,1280,43,2,61,5965,110,3.66,1.201,8.2,0.9,2.6,8.0,3.03,1024,Houston Astros,.241,.299,.382,.681,.287,2.5%,21.5%,7.1%,87.5,34.3%,25.1%,47.2%,19.9%,0.92,3.8,1.1%,68.4,Houston Astros,3.81,,162,5965,5434,618,1308,252,37,148,87,27,423,1280,.241,.299,.382,.681,.287,2078,108,43,27,38,17,49,Houston Astros,3.81,45%,2.5%,21.5%,7.1%,14.4%,7.3%,33%,0.92,1.22,68%,25%,7.9%,14%,1010,108,11%,0,2015
Kansas City Royals,24,30.0,3.96,95,67,.586,3.73,162,162,160,2,8,1,56,1452.0,1372,641,601,155,489,10,1160,52,2,62,6112,112,4.04,1.282,8.5,1.0,3.0,7.2,2.37,1115,Kansas City Royals,.249,.314,.396,.710,.288,2.5%,19.0%,8.0%,88.5,38.3%,25.3%,42.7%,23.1%,0.77,9.3,7.0%,76.3,Kansas City Royals,3.96,,162,6112,5499,641,1372,262,39,155,75,35,489,1160,.249,.314,.396,.710,.288,2177,114,52,28,44,10,42,Kansas City Royals,3.96,45%,2.5%,19.0%,8.0%,11.0%,7.5%,33%,0.77,1.00,69%,25%,7.3%,14%,1138,114,10%,0,2015
Los Angeles Angels of Anaheim,25,28.3,4.17,85,77,.525,3.94,162,162,160,2,12,2,46,1440.2,1355,675,630,166,466,45,1221,71,4,61,6096,96,4.06,1.264,8.5,1.0,2.9,7.6,2.62,1099,Los Angeles Angels of Anaheim,.248,.313,.396,.708,.288,2.7%,20.0%,7.6%,88.4,37.1%,26.6%,41.5%,21.6%,0.73,4.6,1.3%,2.3,Los Angeles Angels of Anaheim,4.17,,162,6096,5467,675,1355,273,19,166,93,43,466,1221,.248,.313,.396,.708,.288,2164,91,71,42,50,45,60,Los Angeles Angels of Anaheim,4.17,42%,2.7%,20.0%,7.6%,12.4%,7.5%,34%,0.73,0.89,68%,27%,7.9%,15%,1069,91,9%,0,2015
Los Angeles Dodgers,31,28.1,3.67,92,70,.568,3.44,162,162,156,6,21,3,47,1445.2,1317,595,553,145,395,32,1396,38,10,52,5932,107,3.41,1.184,8.2,0.9,2.5,8.7,3.53,1000,Los Angeles Dodgers,.242,.297,.372,.669,.299,2.4%,23.5%,6.7%,87.5,34.5%,25.6%,49.8%,16.6%,1.04,7.8,6.9%,57.7,Los Angeles Dodgers,3.67,,162,5932,5433,595,1317,229,20,145,85,42,395,1396,.242,.297,.372,.669,.299,2021,114,38,37,29,32,46,Los Angeles Dodgers,3.67,47%,2.4%,23.5%,6.7%,16.9%,6.6%,30%,1.04,1.42,66%,26%,8.3%,11%,1004,114,11%,0,2015
Miami Marlins,29,27.3,4.19,71,91,.438,4.02,162,162,162,0,12,0,35,1427.0,1374,678,638,141,508,25,1152,52,3,53,6050,95,3.98,1.319,8.7,0.9,3.2,7.3,2.27,1091,Miami Marlins,.255,.322,.396,.718,.297,2.3%,19.0%,8.4%,88.8,38.7%,27.2%,44.4%,19.8%,0.83,-6.3,-2.1%,-29.9,Miami Marlins,4.19,,162,6050,5385,678,1374,278,29,141,74,25,508,1152,.255,.322,.396,.718,.297,2133,145,52,50,55,25,37,Miami Marlins,4.19,48%,2.3%,19.0%,8.4%,10.6%,7.4%,33%,0.83,1.11,69%,27%,6.9%,12%,1138,145,13%,0,2015
Milwaukee Brewers,26,28.4,4.55,68,94,.420,4.28,162,162,161,1,7,0,40,1435.0,1432,737,682,176,517,36,1260,55,5,71,6148,93,4.17,1.358,9.0,1.1,3.2,7.9,2.44,1106,Milwaukee Brewers,.261,.329,.422,.750,.307,2.9%,20.5%,8.4%,88.1,37.8%,28.8%,46.0%,17.3%,0.89,-6.2,-1.5%,-70.3,Milwaukee Brewers,4.55,,162,6148,5484,737,1432,287,33,176,104,46,517,1260,.261,.329,.422,.750,.307,2313,135,55,48,42,36,56,Milwaukee Brewers,4.55,53%,2.9%,20.5%,8.4%,12.1%,8.1%,35%,0.89,1.27,67%,29%,8.8%,11%,1148,135,12%,0,2015
Minnesota Twins,24,29.1,4.32,83,79,.512,4.07,162,162,160,2,12,0,45,1443.0,1506,700,653,163,413,34,1046,41,2,54,6139,100,4.10,1.330,9.4,1.0,2.6,6.5,2.53,1110,Minnesota Twins,.269,.321,.418,.739,.303,2.7%,17.0%,6.7%,89.0,40.6%,25.8%,44.1%,21.3%,0.82,3.6,1.6%,0.7,Minnesota Twins,4.32,,162,6139,5600,700,1506,295,25,163,93,22,413,1046,.269,.321,.418,.739,.303,2340,131,41,42,43,34,53,Minnesota Twins,4.32,47%,2.7%,17.0%,6.7%,10.3%,7.9%,32%,0.82,1.06,72%,26%,7.5%,14%,1135,131,12%,0,2015
New York Mets,26,28.2,3.78,90,72,.556,3.43,162,162,161,1,14,1,50,1462.2,1341,613,557,152,383,43,1337,44,2,46,6046,111,3.53,1.179,8.3,0.9,2.4,8.2,3.49,1045,New York Mets,.243,.296,.377,.672,.292,2.5%,22.1%,6.3%,87.9,35.1%,24.7%,45.8%,20.9%,0.89,8.8,7.4%,53.3,New York Mets,3.78,,162,6046,5515,613,1341,235,23,152,75,26,383,1337,.243,.296,.377,.672,.292,2078,114,44,63,40,43,58,New York Mets,3.78,47%,2.5%,22.1%,6.3%,15.8%,6.8%,31%,0.89,1.14,67%,25%,7.9%,12%,1057,114,11%,0,2015
New York Yankees,33,27.4,4.31,87,75,.537,4.03,162,162,159,3,4,0,48,1457.2,1416,698,652,182,474,16,1370,56,4,78,6191,101,3.97,1.297,8.7,1.1,2.9,8.5,2.89,1120,New York Yankees,.253,.316,.406,.722,.303,2.9%,22.1%,7.7%,88.6,39.1%,25.0%,47.2%,20.0%,0.92,7.7,6.6%,13.2,New York Yankees,4.31,,162,6191,5590,698,1416,260,25,182,71,36,474,1370,.253,.316,.406,.722,.303,2272,113,56,31,39,16,54,New York Yankees,4.31,47%,2.9%,22.1%,7.7%,14.5%,7.5%,33%,0.92,1.21,66%,25%,9.5%,13%,1095,113,10%,0,2015
Oakland Athletics,30,27.8,4.50,68,94,.420,4.14,162,162,157,5,15,3,28,1444.2,1402,729,664,172,474,19,1179,47,4,62,6128,94,4.13,1.299,8.7,1.1,3.0,7.3,2.49,1065,Oakland Athletics,.254,.316,.400,.716,.291,2.8%,19.2%,7.7%,88.8,39.3%,27.1%,44.7%,18.6%,0.83,-7.8,-1.9%,-45.0,Oakland Athletics,4.50,,162,6128,5520,729,1402,266,13,172,78,40,474,1179,.254,.316,.400,.716,.291,2210,130,47,34,53,19,77,Oakland Athletics,4.50,47%,2.8%,19.2%,7.7%,11.5%,7.4%,32%,0.83,1.08,69%,27%,8.5%,15%,1138,130,11%,0,2015
